year,name,label,keyword,ner
104,國家型科技計畫辦公室維運計畫(1/1),能源,季報,"一.103年, 半年, 三年期, 102~104, 國家型科技計畫辦公室, 國科會"
104,能源國家型科技計畫-能源主軸與產業需求科技研究(2/5),能源,,
104,能源國家型科技計畫-太陽光電技術發展與應用(2/5),能源,,
104,核電營運安全領域關鍵技術發展綱要計畫(2/4),能源,,
104,能源國家型科技計畫-高效率固態氧化物燃料電池技術開發暨產業化平台建構(2/5),能源,,
104,能源國家型科技計畫-碳基能源永續潔淨利用技術發展(2/5),能源,,
104,能源國家型科技計畫-自主式分散型區域電力控管技術發展與應用(2/5),能源,,
104,能源國家型科技計畫-我國能源科技及產業政策評估能力建置(4/4),能源,,
104,依法執行核設施清理作業(2/4),能源,,
104,能源國家型科技計畫-風能系統工程技術開發與研究(2/5),能源,,
104,核設施除役產生放射性廢棄物處理與處置技術研發(1/4),能源,,
104,精進放射性物料安全管制技術發展(4/4),能源,,
104,核能安全管制技術發展研究(4/4),能源,,
104,核能技術及後端處置之安全強化研究(1/4),能源,,
104,核設施除役之輻射安全與人員生物劑量評估技術研究(3/4),能源,,
104,輻射事故緊急應變管制技術發展(4/4),能源,,
104,原子能科技學術合作研究計畫(1/1),能源,,
104,能源國家型科技計畫—新及再生能源技術研發(1/4),能源,,
104,104年度「學界及業界能源科技研究發展計畫」(1/1),能源,,
104,104年度「再生能源發展與推廣計畫」(1/1),能源,,
104,能源國家型科技計畫—節約能源技術研發(1/4),能源,,
104,104年度「能源效率管理與節能技術推廣輔導計畫」(1/1),能源,,
104,虛擬電廠低碳能源調度決策技術發展與研究(1/1),能源,,
105,產品碳足跡揭露服務計畫(碳足跡雲)(2/4),能源,,
105,創新低碳綠建築環境科技計畫(2/4),能源,,
105,能源科技人才培育計畫(3/4),能源,,
105,能源國家型科技計畫-能源產業技術發展綱要計畫(3/5),能源,,
105,加強(民間工業基礎技術及)南部產業高值化技術發展暨民生化學計量標準綱要計畫(4/4),能源,,
105,能源國家型科技計畫-大型儲電元件與系統技術開發計畫(3/3),能源,,
105,奈米材料產業技術發展綱要計畫(2/4),能源,,
105,石化產業高値化系統技術與應用發展計畫(3/4),能源,,
105,能源國家型科技計畫-產業溫室氣體減量推動計畫(3/4),能源,,
105,能源國家型科技計畫-再生能源產業推動計畫(4/4),能源,,
105,材料與化工產業發展計畫(4/4),能源,,
105,智慧電動車輛產業推動計畫(2/4),能源,,
105,產業綠色成長推動計畫(4/4),能源,,
105,產業園區能資源整合及工業安全推動計畫(4/4),能源,,
105,製造業產品環境足跡與資源永續推動計畫(2/4),能源,,
105,產業永續發展計畫(4/4),能源,,
105,綠色工廠與資源再生綠色產品推動計畫(1/4),能源,,
105,新世代化學材料產業輔導與推廣計畫(1/4),能源,,
105,能源國家型科技計畫-能源科技產品標準檢測驗證計畫(4/4),能源,,
105,服務業能源管理與技術輔導計畫(1/2),能源,,
105,臺灣東北海域礦產資源潛能調查(1/4),能源,,
105,提升中小企業節能減碳能力輔導計畫(3/4),能源,,
105,低碳排放之無機聚合綠色水泥及混凝土製備研究(1/4),能源,,
105,能源國家型科技計畫(2/4)-低碳運輸系統發展計畫,能源,,
105,中部科學工業園區業務推展(1/1),能源,,
105,南科綠能低碳產業聚落推動計畫(4/4),能源,,
105,十二年一貫綠色科技明日典範學校(4/4),能源,,
105,自然科學研究發展(1/1),能源,"海洋, 南海, 海域","台菲, 行政院, 南海, 2016, 兩岸"
105,自然科學研究發展(1/1),能源,"發展性, 望遠鏡",台灣
105,自然科學研究發展(1/1),能源,"二號, 望遠鏡",
