year,name,label,keyword,ner,tf_idf
104,石化產業高値化系統技術與應用發展計畫(2/4),能源,,,"國內, 材料, 石化, 製程, 價值"
104,奈米材料產業技術發展綱要計畫(1/4),能源,,,"材料, 奈米, 產品, 生醫, 機能性"
104,能源國家型科技計畫-能源產業技術發展綱要計畫(2/5),能源,,,"關鍵, 模組, 製程, 材料, 生質"
104,加強民間工業基礎技術及南部產業高值化技術發展暨民生化學計量標準計畫(3/4),能源,,,"基礎, 工業, 化學, 民生, 標準"
104,材料與化工產業發展計畫(3/4),能源,,,"材料, 化工, 關鍵, 廠商, 環境"
104,能源國家型科技計畫-再生能源產業推動計畫(3/4),能源,,,"能源, 國內, 模組, 風力機, 重點"
104,能源國家型科技計畫-產業溫室氣體減量推動計畫(2/4),能源,,,"製造業, 量, 溫室, 氣體, 能力"
104,產業園區能資源整合及工業安全推動計畫(3/4),能源,,,"災害, 資源, 園區, 區域, 資訊"
104,製造業產品環境足跡與資源永續推動計畫(1/4),能源,,,"產品, 環境, 經濟, 國際, 資訊"
104,產業綠色成長推動計畫(3/4),能源,,,"綠色, 廠商, 產品, 設計, 國際"
104,綠色工廠與資源再生綠色產品推動計畫(4/4),能源,,,"綠色, 工廠, 產品, 標章, 資源"
104,智慧電動車輛產業推動計畫(1/4),能源,,,"機車, 智慧, 零組件, 車輛, 電動車"
104,產業永續發展計畫(3/4),能源,,,"綠色, 用水, 環保, 環境, 策略"
104,新世代化學應用材料產業輔導與推廣計畫(4/4),能源,,,"材料, 產品, 石化, 零組件, 國際"
104,能源國家型科技計畫--能源科技產品標準檢測驗證計畫(3/4),能源,,,"國際, 產品, 標準, 分項, 實驗室"
104,服務業能源管理與技術輔導計畫(2/4),能源,,,"能源, 商業, 碳, 商圈, 企業"
104,能源國家型科技計畫–臺灣西南海域天然氣水合物資源地質精查及南部海域天然氣水合物賦存潛能調查(4/4),能源,,,"海域, 天然氣, 水合物, 基礎, 資料"
104,提升中小企業節能減碳能力輔導計畫(2/4),能源,,,"碳, 能源, 中小企業, 商機, 溫室"
104,開發蛇紋石多元化工業材料之應用研究(4/4),能源,,,"蛇紋石, 材料, 遠紅外線, 紡織品, 產品"
104,低碳運輸系統發展計畫(1/4),能源,,,"交通, 政策, 路燈, 碳, 決策"
104,軍民通用之高功率模組產業及應用生根計畫(1/4),能源,,,"模組, 關鍵, 元件, 功率, 科技"
